trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
536742a7-083e-4168-9e39-2c06abb3485a,12:31:00,12:31:00,AK_10005,2,,0,0,43311.4107660,0
536742a7-083e-4168-9e39-2c06abb3485a,12:52:00,12:52:00,AK_10004,3,,0,0,125177.0133281,0
536742a7-083e-4168-9e39-2c06abb3485a,13:10:00,13:10:00,AK_10003,4,,0,0,230344.0930456,0
536742a7-083e-4168-9e39-2c06abb3485a,13:50:00,13:50:00,AK_10002,5,,0,0,392000.7478909,0
536742a7-083e-4168-9e39-2c06abb3485a,14:11:00,14:11:00,AK_10001,6,,0,0,581907.5892789,0
536742a7-083e-4168-9e39-2c06abb3485a,14:45:00,14:45:00,AK_10000,7,,0,0,793074.6930004,0
53ed4504-5248-4058-84b1-e5c0052eca46,15:40:00,15:40:00,AK_10000,1,,0,0,0.0000000,0
53ed4504-5248-4058-84b1-e5c0052eca46,16:26:00,16:26:00,AK_10002,2,,0,0,49757.1984766,0
53ed4504-5248-4058-84b1-e5c0052eca46,17:10:00,17:10:00,AK_10003,3,,0,0,156083.2719374,0
53ed4504-5248-4058-84b1-e5c0052eca46,17:27:00,17:27:00,AK_10004,4,,0,0,286255.9168810,0
53ed4504-5248-4058-84b1-e5c0052eca46,18:20:00,19:05:00,AK_10006,5,,0,0,497423.0206026,0
53ed4504-5248-4058-84b1-e5c0052eca46,19:32:00,19:32:00,AK_10007,6,,0,0,726789.3848820,0
53ed4504-5248-4058-84b1-e5c0052eca46,20:48:00,20:48:00,AK_10015,7,,0,0,1007603.4819616,0
53ed4504-5248-4058-84b1-e5c0052eca46,21:49:00,21:49:00,AK_10017,8,,0,0,1322974.1620062,0
53ed4504-5248-4058-84b1-e5c0052eca46,23:09:00,23:09:00,AK_10018,9,,0,0,1725145.8111983,0
53ed4504-5248-4058-84b1-e5c0052eca46,23:55:00,23:59:00,AK_10019,10,,0,0,2185643.2414384,0
59ec5499-4533-4870-b9fa-25885120d10b,10:20:00,10:20:00,STOP_f8bdf734-ec0b-4f9a-ae8d-ba8ab42c9f23,1,,0,0,0.0000000,0
59ec5499-4533-4870-b9fa-25885120d10b,10:35:00,10:35:00,STOP_425876a5-bfc0-4dfb-afe8-fb4bb81696cb,2,,0,0,8132.1930720,0
59ec5499-4533-4870-b9fa-25885120d10b,11:55:00,12:55:00,STOP_dc5268a3-2fcc-4138-bf9e-2f20ca83160e,3,,0,0,73336.5890738,0
59ec5499-4533-4870-b9fa-25885120d10b,13:25:00,13:25:00,STOP_b5919444-bd0f-408c-ad3a-01a133611581,4,,0,0,110942.7487127,0
59ec5499-4533-4870-b9fa-25885120d10b,14:29:00,14:29:00,AK_10013,5,,0,0,173929.5055769,0
59ec5499-4533-4870-b9fa-25885120d10b,14:54:00,14:54:00,AK_10012,6,,0,0,191673.0365091,0
59ec5499-4533-4870-b9fa-25885120d10b,15:18:00,15:18:00,STOP_c1d11fda-c520-4d43-aaad-e568d736c809,7,,0,0,215934.8903051,0
59ec5499-4533-4870-b9fa-25885120d10b,15:50:00,15:50:00,AK_10010,8,,0,0,254088.5249916,0
